ID,Report Number,Date,Time,Offense Category,Offense Type,Neighborhood
139,PGHP24000676,2024-01-02,11:16,Vehicle Offense,Not NIBRS Reportable,Bloomfield
143,PGHP24000717,2024-01-02,13:02,Vandalism,Property Damage,Strip District
148,PGHP24000624,2024-01-02,8:10,Motor Vehicle Theft,Vehicle Theft,Homewood South
151,PGHP24000609,2024-01-02,8:13,Burglary,Breaking & Entering,North Oakland
154,PGHP24000765,2024-01-02,15:01,Fraud,Swindle/Confidence Game,Banksville
162,PGHP24000820,2024-01-02,16:19,Fraud,Counterfeiting/Forgery,South Side Flats
171,PGHP24000825,2024-01-02,16:53,Assault,Simple Assault/Intimidation,Spring Hill
182,PGHP24000878,2024-01-02,19:24,Robbery,Robbery (Firearm),Marshall-Shadeland
192,PGHP23169569,2024-01-02,21:00,Sex Offenses,Forcible Rape,South Side Slopes
195,PGHP24000927,2024-01-02,21:04,Assault,Aggravated Assault (Police),Mt. Washington
212,PGHP24000996,2024-01-03,1:45,Assault,Aggravated Assault,Larimer
216,PGHP24001008,2024-01-03,2:55,Weapon Law,Discharge into Structure,Central Northside
218,PGHP24001016,2024-01-03,3:41,Burglary,Breaking & Entering,Marshall-Shadeland
221,PGHP24001044,2024-01-03,6:42,Motor Vehicle Theft,Vehicle Theft,Knoxville
231,PGHP24001082,2024-01-03,9:31,Burglary,Breaking & Entering,Beechview
268,PGHP24001172,2024-01-03,12:14,Prostitution,Promoting Prostitution,Overbrook
312,PGHP24001288,2024-01-03,16:03,Burglary,Breaking & Entering,Knoxville
315,PGHP24001491,2024-01-04,0:21,Assault,Aggravated Assault,Beechview
318,PGHP24001559,2024-01-04,4:36,Drug/Narcotic,Possession with Intent,East Liberty
379,PGHP24001658,2024-01-04,10:55,Arson,Dangerous Burning,Homewood West
387,PGHP24001949,2024-01-04,22:42,Robbery,Robbery (Firearm),Spring Hill
401,PGHP24002020,2024-01-05,4:26,Larceny/Theft,Stolen Property (Auto),Homewood South
460,PGHP24002043,2024-01-05,6:49,Assault,Aggravated Assault,Spring Hill
526,PGHP24002510,2024-01-06,2:30,Arson,Dangerous Burning,Central Lawrenceville
528,PGHP24002937,2024-01-07,0:19,Assault,Aggravated Assault,Terrace Village
563,PGHP24003181,2024-01-07,16:05,Assault,Aggravated Assault (Police),Mt. Washington
595,PGHP24005166,2024-01-07,0:01,Assault,Aggravated Assault,Knoxville
673,PGHP24003664,2024-01-08,17:37,Sex Offenses,Forcible Sodomy,North Side
688,PGHP24003723,2024-01-08,20:07,Robbery,Robbery (Strongarm),Lower Lawrenceville
713,PGHP24003372,2024-01-08,5:24,Burglary,Breaking & Entering,Central Biz Dist
720,PGHP24003800,2024-01-09,1:42,Assault,Aggravated Assault (Firearm),Homewood South
752,PGHP24004053,2024-01-09,15:17,Assault,Aggravated Assault (Knife),South Side Flats
792,PGHP24003869,2024-01-09,7:01,Assault,Aggravated Assault,Sheraden
798,PGHP24004273,2024-01-10,0:46,Burglary,Breaking & Entering,Bloomfield
827,PGHP24004522,2024-01-10,14:51,Robbery,Robbery (Firearm),South Side Flats
843,PGHP24010440,2024-01-10,18:27,Robbery,Robbery (Firearm),Allentown
854,PGHP24004715,2024-01-11,2:12,Assault,Aggravated Assault (Knife),Marshall-Shadeland
928,PGHP24005153,2024-01-11,22:40,Robbery,Robbery (Firearm),Central Oakland
933,PGHP24005149,2024-01-11,22:04,Assault,Aggravated Assault (Firearm),Arlington
936,PGHP24005133,2024-01-11,21:00,Assault,Aggravated Assault,Mt. Washington
,PGHP24005587,2024-01-12,18:53,Homicide,Murder,Larimer